Post_ID,Dominant_Topic,Topic_Proportion,Topics
57306886,2,0.593751,2(0.593751) 1(0.256000) 4(0.087376) 9(0.054988) 5(0.005528) 3(0.000993) 0(0.000489) 7(0.000317) 8(0.000291) 6(0.000268)
57315409,5,0.765611,5(0.765611) 2(0.137887) 9(0.077851) 1(0.014312) 0(0.001436) 8(0.001113) 6(0.000834) 3(0.000486) 7(0.000361) 4(0.000107)
57348512,9,0.242534,9(0.242534) 0(0.211414) 1(0.196614) 7(0.174264) 5(0.117452) 8(0.055460) 3(0.001608) 2(0.000350) 4(0.000200) 6(0.000105)
57360838,0,0.434918,0(0.434918) 7(0.280576) 1(0.204917) 4(0.077539) 2(0.000754) 6(0.000479) 3(0.000310) 8(0.000224) 5(0.000175) 9(0.000109)
57399838,6,0.552301,6(0.552301) 7(0.428279) 2(0.011879) 0(0.004320) 3(0.000731) 9(0.000714) 8(0.000632) 4(0.000455) 5(0.000378) 1(0.000311)
57424157,3,0.427163,3(0.427163) 1(0.246663) 4(0.209740) 9(0.088874) 2(0.023019) 7(0.002988) 0(0.000546) 8(0.000536) 6(0.000263) 5(0.000208)
57428780,0,0.764561,0(0.764561) 1(0.230051) 6(0.003329) 2(0.000988) 5(0.000297) 7(0.000271) 4(0.000170) 9(0.000159) 3(0.000101) 8(0.000073)
57446192,2,0.360638,2(0.360638) 4(0.338054) 9(0.296700) 6(0.001869) 3(0.000989) 0(0.000590) 7(0.000459) 5(0.000360) 8(0.000198) 1(0.000144)
57454809,8,0.792152,8(0.792152) 0(0.089771) 9(0.083874) 4(0.031660) 1(0.000765) 3(0.000544) 7(0.000404) 2(0.000374) 6(0.000272) 5(0.000182)
57455076,7,0.996695,7(0.996695) 1(0.001193) 2(0.000589) 3(0.000321) 5(0.000308) 8(0.000265) 0(0.000251) 6(0.000206) 9(0.000122) 4(0.000052)
57478134,0,0.769770,0(0.769770) 1(0.185006) 3(0.016590) 8(0.012141) 2(0.006688) 5(0.005982) 6(0.002213) 4(0.000807) 7(0.000667) 9(0.000136)
57481380,9,0.775036,9(0.775036) 2(0.144642) 4(0.076530) 7(0.001129) 1(0.000898) 0(0.000453) 6(0.000450) 5(0.000417) 3(0.000266) 8(0.000180)
57488322,5,0.439961,5(0.439961) 0(0.292534) 1(0.147517) 3(0.116824) 8(0.002801) 9(0.000194) 2(0.000081) 6(0.000039) 4(0.000029) 7(0.000021)
57513437,9,0.369657,9(0.369657) 4(0.305966) 5(0.259379) 8(0.055333) 2(0.004196) 0(0.004072) 7(0.000439) 6(0.000340) 1(0.000323) 3(0.000296)
57517320,0,0.751965,0(0.751965) 4(0.246971) 1(0.000248) 2(0.000195) 3(0.000142) 9(0.000140) 8(0.000100) 7(0.000097) 5(0.000078) 6(0.000064)
57527036,2,0.696794,2(0.696794) 3(0.288628) 1(0.007826) 7(0.002581) 6(0.001105) 8(0.000947) 0(0.000737) 4(0.000649) 5(0.000462) 9(0.000270)
57532976,9,0.649147,9(0.649147) 7(0.240341) 8(0.108008) 4(0.000615) 6(0.000448) 3(0.000426) 2(0.000317) 1(0.000280) 0(0.000227) 5(0.000191)
57538560,8,0.656889,8(0.656889) 5(0.338663) 1(0.001931) 0(0.001349) 3(0.000374) 9(0.000292) 6(0.000198) 7(0.000152) 2(0.000081) 4(0.000071)
57543855,4,0.469463,4(0.469463) 2(0.431462) 1(0.046160) 7(0.027546) 0(0.023091) 6(0.000880) 8(0.000566) 5(0.000336) 3(0.000256) 9(0.000241)
57544230,9,0.334849,9(0.334849) 2(0.221397) 4(0.186710) 1(0.134436) 8(0.120996) 0(0.000579) 3(0.000547) 7(0.000228) 5(0.000160) 6(0.000097)
57564070,1,0.267094,1(0.267094) 7(0.222241) 8(0.212427) 6(0.179420) 2(0.106412) 0(0.007458) 4(0.001944) 5(0.001439) 9(0.001157) 3(0.000409)
57579380,0,0.560149,0(0.560149) 4(0.260022) 1(0.176425) 2(0.002246) 8(0.000539) 7(0.000161) 5(0.000149) 9(0.000118) 3(0.000098) 6(0.000093)
57580748,4,0.424959,4(0.424959) 8(0.324826) 9(0.247514) 1(0.001568) 3(0.000390) 5(0.000287) 0(0.000187) 7(0.000131) 6(0.000108) 2(0.000030)
